
> my-app@0.1.0 dev
> next dev

▲ Next.js 16.3.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.2:3000
✓ Ready in 820ms
✓ Running next.config.ts took 71ms

 GET / 200 in 874ms (next.js: 445ms, application-code: 429ms)
 GET /api/settings 200 in 263ms (next.js: 184ms, application-code: 78ms)
 GET /api/categories 200 in 342ms (next.js: 329ms, application-code: 13ms)
 GET /api/products?is_featured=true&limit=4 200 in 62ms (next.js: 52ms, application-code: 9ms)
 GET /api/products?is_new=true&limit=4 200 in 70ms (next.js: 63ms, application-code: 7ms)
 GET /api/products?is_bestseller=true&limit=4 200 in 78ms (next.js: 72ms, application-code: 6ms)
 GET /api/settings 200 in 83ms (next.js: 77ms, application-code: 6ms)
 GET /api/categories 200 in 20ms (next.js: 14ms, application-code: 6ms)
 GET /api/products?is_featured=true&limit=4 200 in 30ms (next.js: 24ms, application-code: 6ms)
 GET /api/products?is_new=true&limit=4 200 in 40ms (next.js: 32ms, application-code: 8ms)
 GET /api/products?is_bestseller=true&limit=4 200 in 33ms (next.js: 27ms, application-code: 6ms)
 GET /api/settings 200 in 38ms (next.js: 34ms, application-code: 4ms)
 GET /api/categories 200 in 22ms (next.js: 17ms, application-code: 5ms)
 GET /api/settings 200 in 6ms (next.js: 2ms, application-code: 4ms)
 GET /api/categories 200 in 6ms (next.js: 3ms, application-code: 4ms)
 GET /api/settings 200 in 6ms (next.js: 2ms, application-code: 4ms)
 GET /api/settings 200 in 6ms (next.js: 2ms, application-code: 4ms)
 GET / 200 in 89ms (next.js: 6ms, application-code: 82ms)
 GET /api/settings 200 in 11ms (next.js: 5ms, application-code: 6ms)
 GET /api/categories 200 in 19ms (next.js: 13ms, application-code: 5ms)
 GET /api/products?is_featured=true&limit=4 200 in 10ms (next.js: 4ms, application-code: 6ms)
 GET /api/products?is_new=true&limit=4 200 in 19ms (next.js: 12ms, application-code: 7ms)
 GET /api/products?is_bestseller=true&limit=4 200 in 26ms (next.js: 21ms, application-code: 5ms)
 GET /api/settings 200 in 33ms (next.js: 27ms, application-code: 6ms)
 GET /api/categories 200 in 14ms (next.js: 7ms, application-code: 6ms)
 GET /api/products?is_featured=true&limit=4 200 in 10ms (next.js: 5ms, application-code: 4ms)
 GET /api/products?is_new=true&limit=4 200 in 15ms (next.js: 10ms, application-code: 4ms)
 GET /api/products?is_bestseller=true&limit=4 200 in 32ms (next.js: 16ms, application-code: 16ms)
 GET /api/settings 200 in 38ms (next.js: 33ms, application-code: 5ms)
 GET /api/categories 200 in 14ms (next.js: 10ms, application-code: 4ms)
 GET /api/settings 200 in 8ms (next.js: 2ms, application-code: 6ms)
 GET /api/categories 200 in 12ms (next.js: 3ms, application-code: 9ms)
 GET /api/settings 200 in 20ms (next.js: 14ms, application-code: 6ms)
 GET /api/settings 200 in 14ms (next.js: 10ms, application-code: 5ms)
 GET /setup 200 in 2.6s (next.js: 1937ms, application-code: 675ms)
